Sample ID,Material,Description,14C Lab ID,DatBP,Sta,Comment,δ13C‰ VPDB,δ15N‰ AIR,C:N,Sr Lab ID,Sr87/Sr86,,,,,,,,,,,,,,
NEO594,tooth,PM2 mand dxt,UBA-37886,4548,48,,-20.7,10.1,3.19,F10331,0.709989,,,,,,,,,,,,,,
NEO594,tooth,PM2 mand dxt,UBA-38232,4518,33,isotopes failed,,,,F10331,0.709989,,,,,,,,,,,,,,
NEO595,bone,mandibula,Poz-17032/ACQ59:10+39,4770,40,,-18.8,11.4,3.3,,,,,,,,,,,,,,,,
NEO595,tooth,M2 mand sin,UCIAMS-232705,4910,15,,-18.6,11.8,3.2,F10542,0.710251,,,,,,,,,,,,,,
NEO597,tooth,C mand sin,,,,,,,,F10544,0.70951,,,,,,,,,,,,,,
NEO597,bone,tibia dxt,K-3746/ACQ59:8+38,4570,60,,-20.1,9.2,3.2,,,,,,,,,,,,,,,,
NEO598,tooth,M mand,UBA-37887,5553,40,,-10.5,14.6,3.18,F10332,0.709498,,,,,,,,,,,,,,
NEO599,bone,Petrosa sin,UBA,,,isotopes only,-20,10,,F10745,0.70939,,,,,,,,,,,,,,
NEO599,bone,Clavicula,AAR-10994,4485,41,,-21,10.2,,,,,,,,,,,,,,,,,
NEO600,tooth,C mand sin,,,,,,,,F10545,0.709217,,,,,,,,,,,,,,
NEO600,tooth,C mand sin,,,,,,,,F10333,,,,,,,,,,,,,,,
NEO600,bone,radius,Ua-23792,7115,55,,-15.91,15.2,3.26,,,,,,,,,,,,,,,,
NEO601,tooth,C mand sin,UCIAMS-232706,5050,15,,-20.9,9.5,3.2,F10546,0.711564,,,,,,,,,,,,,,
NEO601,bone,humerus sin,K-6303,5140,100,,,,,,,,,,,,,,,,,,,,
NEO601,bone,femur sin,Poz-17006,4985,27,,-20.5,9.6,3.3,,,,,,,,,,,,,,,,
NEO601,bone,femur sin,AAR-11312,5086,44,,-20.4,9.5,3.16,,,,,,,,,,,,,,,,
NEO602,tooth,C max sin,,,,,,,,F10547,0.709245,,,,,,,,,,,,,,
NEO602,bone,femur sin,AAR-10248,4523,37,,-19.4,10.5,3.3,,,,,,,,,,,,,,,,
NEO602,bone,fibula dxt,"K-5741/Oxford, DK3",4530,90,,-20,10,,,,,,,,,,,,,,,,,
NEO603,tooth,PM1 mand dxt,UBA-40077,3911,44,,-19.5,9.4,3.16,,,,,,,,,,,,,,,,
NEO609,tooth,PM1 mand dxt,UBA-40078,3901,31,,-19.7,9.2,3.18,,,,,,,,,,,,,,,,
NEO624,bone,Pars petrosa sin,UBA-40079,4368,32,,-19.9,13.6,3.33,,,,,,,,,,,,,,,,
NEO625,tooth,PM1 mand dxt,UBA-40080,4532,37,,-19,12.6,3.17,,,,,,,,,,,,,,,,
NEO626,tooth,PM1 mand dxt,UBA-40081,4570,36,,-18,11.9,3.16,,,,,,,,,,,,,,,,
NEO627,tooth,M1+M2 mand dxt,UBA-40085,4529,35,,-20,13.1,3.27,,,,,,,,,,,,,,,,
NEO630,tooth,PM+M mand sin,UBA-40086,4364,29,,-20.1,12.1,3.2,,,,,,,,,,,,,,,,
NEO631,bone,Pars petrosa sin,UBA-40087,6237,35,,-19.8,8.9,3.23,,,,,,,,,,,,,,,,
NEO632,bone,Pars petrosa dxt,UBA-40088,6415,36,,-19.4,9,3.21,,,,,,,,,,,,,,,,
NEO640,tooth,nd,UBA-40092,4564,33,,-19.6,12.3,3.16,,,,,,,,,,,,,,,,
NEO641,tooth,nd,UBA-40093,4717,32,,-19.8,12,3.16,,,,,,,,,,,,,,,,
NEO645,tooth,PM2 mand dxt,,,,,,,,F10548,0.709637,,,,,,,,,,,,,,
NEO646,tooth,I2 mand dxt,UBA-40599,7642,44,,-15.3,13,3.15,,,,,,,,,,,,,,,,
NEO646,tooth,I2 mand dxt,UBA-40094,,,failed,,,,,,,,,,,,,,,,,,,
NEO648,tooth,PM1 max sin,UBA-40600,6812,46,,-17.1,11.4,3.13,,,,,,,,,,,,,,,,
NEO649,tooth,I1 max sin,UBA-40601,3801,33,,-20.6,10.7,3.14,,,,,,,,,,,,,,,,
NEO650,tooth,M2 mand sin,UBA-40602,3779,32,,-20.8,9.4,3.13,,,,,,,,,,,,,,,,
NEO653,tooth,PM1 max dxt,UBA-40603,3233,31,,-20.8,9.4,3.16,,,,,,,,,,,,,,,,
NEO655,tooth,M2 max dxt,UBA-40099,,,failed,,,,F1489,0.710129,,,,,,,,,,,,,,
NEO655,bone,costa,BRAMS-2579,8346,29,,-20.2,13.2,3.4,,,,,,,,,,,,,,,,
NEO657,tooth,C mand dxt,UBA-40100,,,failed,,,,F1494,0.709845,,,,,,,,,,,,,,
NEO657,nd,nd,OxA–5826,8200,90,,-14.6,,,,,,,,,,,,,,,,,,
NEO658,tooth,nd,UBA-40101,,,failed,,,,,,,,,,,,,,,,,,,
NEO658,bone,femur/tibia,OxA-5831,7130,90,Boric 2019,-20.2,10.5,,,,,,,,,,,,,,,,,
NEO669,tooth,I,UBA-40102,,,failed,,,,,,,,,,,,,,,,,,,
NEO671,tooth,M1 mand,UBA-40103,8275,43,,-18.7,14.9,3.17,,,,,,,,,,,,,,,,
NEO672,tooth,M1 mand,UBA-40104,8384,43,,-19.3,14.8,3.19,,,,,,,,,,,,,,,,
NEO674,tooth,M1 max,UBA-40105,5078,41,,-20.3,11.3,3.2,,,,,,,,,,,,,,,,
NEO677,tooth,I1 mand dxt,UBA-40106,,,failed,,,,,,,,,,,,,,,,,,,
NEO679,tooth,nd,Lu-2116,5990,70,charcoal date,,,,,,,,,,,,,,,,,,,
NEO683,bone,Pars petrosa sin,,,,"S2, X4",,,,F10517,0.709293,,,,,,,,,,,,,,
NEO683,tooth,M1 max dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO687,bone,"cranium, temporale",UBA-40107,4922,47,,-20.4,11.8,3.17,,,,,,,,,,,,,,,,
NEO694,tooth,nd,Beta-261220,8540,50,,-14.6,,3.2,,,,,,,,,,,,,,,,
NEO695,tooth,nd,UBA-40606,6608,41,,-20.9,12,3.12,,,,,,,,,,,,,,,,
NEO702,bone,Pars petrosa sin,UBA-35714,4619,41,,-20.6,10.4,3.25,,,,,,,,,,,,,,,,
NEO717,tooth+bone,nd,UBA-40037,4378,32,,-19.1,12.1,3.07,,,,,,,,,,,,,,,,
NEO721,tooth,M1 sin,Ua-39308,4021,30,,,,,,,,,,,,,,,,,,,,
NEO732,tooth,PM1 mand sin,P-48475,,,failed,,,,F10557,0.709786,,,,,,,,,,,,,,
NEO732,tooth,M1,,,,,,,,?,0.709614,,,,,,,,,,,,,,
NEO733,tooth,C mand sin,P-48474,,,failed,,,,F10558,0.710084,,,,,,,,,,,,,,
NEO735,tooth,PM2 max dxt,UBA-37890,3671,39,,-20.3,10.4,3.21,,,,,,,,,,,,,,,,
NEO737,tooth,M3 mand sin,UBA-37891,3785,38,,-19.6,10.1,3.15,F10506,0.710185,,,,,,,,,,,,,,
NEO738,tooth,PM1/PM2 max sin,UBA-35715,3810,40,,-19.1,8.6,3.22,F10561,0.709776,,,,,,,,,,,,,,
NEO739,bone,Pars petrosa dxt,UBA-35716,3691,40,,-19.8,8.5,3.22,,,,,,,,,,,,,,,,
NEO744,tooth,M3 mand dxt,UBA-37893,4709,52,,-18.6,12.4,3.21,F10338,0.709901,,,,,,,,,,,,,,
NEO745,bone,femur,Ua-23784,6140,50,,-13.5,16.4,,,,,,,,,,,,,,,,,
NEO745,bone,Pars petrosa dxt,,,,,,,,F10518,0.709929,,,,,,,,,,,,,,
NEO746,bone,Pars petrosa dxt,UBA-35717,6298,58,,-14.3,15.5,3.24,F10746,0.7111,,,,,,,,,,,,,,
NEO747,bone,long bone,Ua-23786,6060,60,,-14.8,15.6,,,,,,,,,,,,,,,,,
NEO747,bone,Pars petrosa sin,,,,,,,,F10519,0.714463,,,,,,,,,,,,,,
NEO747,bone,Pars petrosa sin,,,,,,,,F10747,0.711059,,,,,,,,,,,,,,
NEO748,bone,femur,Ua-23787,6420,70,,-13.6,16.5,,,,,,,,,,,,,,,,,
NEO748,bone,Pars petrosa sin,,,,,,,,F10520,0.710002,,,,,,,,,,,,,,
NEO749,tooth,I2 mand,,,,,,,,F10564,0.709834,,,,,,,,,,,,,,
NEO749,tooth,I2 mand,,,,,,,,F10521,0.709967,,,,,,,,,,,,,,
NEO749,tooth,M1 mand,Ua-23794,6260,75,,-17.4,16.5,,,,,,,,,,,,,,,,,
NEO751,tooth + bone,M3 mand dxt+mand frag,UBA-35718,5792,41,,-13.5,14.1,3.26,F10565,0.709708,,,,,,,,,,,,,,
NEO752,tooth,C max dxt,,,,,,,,F10566,0.710167,,,,,,,,,,,,,,
NEO752,bone,cranium,AAR-8302,3523,44,,-20.2,11.1,,,,,,,,,,,,,,,,,
NEO753,tooth,M3 sin mand,UBA-39125,4853,29,,-18.5,13.1,3.19,F10567,0.710364,,,,,,,,,,,,,,
NEO757,tooth,M1 sin mand,UBA-35721,4746,45,,-19.8,9.6,3.22,F10569,0.71003,,,,,,,,,,,,,,
NEO759,tooth,M1,,,,,,,,,,,,,,,,,,,,,,,
NEO759,bone,humerus dxt,K-5099,8250,85,,-16.8,12.4,3.3,,,,,,,,,,,,,,,,
NEO759,bone,Pars petrosa sin,UBA-40438,8217,38,,-16.6,12.8,3.21,F10528,0.710099,,,,,,,,,,,,,,
NEO790,bone,Pars petrosa dxt,UBA-35722,4959,43,,-20,10.4,3.23,,,,,,,,,,,,,,,,
NEO791,tooth,"M1 dxt max, M1 dxt mand",,,,,,,,F10572,0.709715,,,,,,,,,,,,,,
NEO791,bone,tibia sin,AAR-10246,6263,36,,-15.9,12.3,3.3,,,,,,,,,,,,,,,,
NEO792,tooth,M2 sin max,UBA-35723,4020,35,,-21.2,8.5,3.27,F10573,0.711897,,,,,,,,,,,,,,
NEO795,tooth,M1 dxt mand,,,,,,,,F10575,0.709657,,,,,,,,,,,,,,
NEO795,tooth,I1 sin mand,,,,,,,,,,,,,,,,,,,,,,,
NEO795,bone,costae,K-3748/ACQ40+41:13,4710,90,,-20.4,8.6,3.1,,,,,,,,,,,,,,,,
NEO797,tooth,C dxt mand,,,,,,,,F10576,0.711482,,,,,,,,,,,,,,
NEO797,bone,costae,K-3744/BCH198 5a+b,4650,140,,-20.4,10,3.3,,,,,,,,,,,,,,,,
NEO806,tooth,nd,UBA-40109,3014,26,,-18.4,9.2,3.2,,,,,,,,,,,,,,,,
NEO812,tooth+bone,tooth + petrous right,UBA-40110,,,failed,,,,,,,,,,,,,,,,,,,
NEO813,tooth+bone,tooth + bone + petrous left,UBA-40111,5740,32,,-19.2,10.6,3.25,,,,,,,,,,,,,,,,
NEO814,tooth,M1 dxt max,UBA-38238,6435,44,,-11.6,14.5,3.19,F10343,0.709937,,,,,,,,,,,,,,
NEO815,tooth,2 incisors,UBA-38239,3248,32,,-20.9,9.1,3.19,F10344,0.715068,,,,,,,,,,,,,,
NEO816,bone,Pars petrosa dxt,P-48489,,,failed,,,,,,,,,,,,,,,,,,,
NEO816,bone,Pars petrosa dxt,UBA-40112,,,failed,,,,,,,,,,,,,,,,,,,
NEO817,bone,Pars petrosa sin,UBA-40113,,,failed,,,,,,,,,,,,,,,,,,,
NEO817,bone,Pars petrosa sin,OxA-39291,8379,29,,-19.02,10.97,3.4,,,,,,,,,,,,,,,,
NEO819,bone,Pars petrosa dxt,OxA-39346,8353,37,,-17.65,11.02,3.5,,,,,,,,,,,,,,,,
NEO819,bone,Pars petrosa dxt,OxA-39347,8271,34,,-17.03,10.96,3.5,,,,,,,,,,,,,,,,
NEO819,bone,Pars petrosa dxt,UBA-40115,,,failed,,,,,,,,,,,,,,,,,,,
NEO822,tooth,M1 dxt mand,,,,,,,,F10578,0.70949,,,,,,,,,,,,,,
NEO822,bone,mandible,AAR-8725,6310,60,,-11.72,14.45,,,,,,,,,,,,,,,,,
NEO823,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO828,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO830,tooth,nd,OxA-18284,4661,30,,,,,,,,,,,,,,,,,,,,
NEO834,tooth,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO834,tooth,nd,UBA-40801,6499,41,,-20.2,9.2,3.23,,,,,,,,,,,,,,,,
NEO841,tooth,nd,UBA-40116,6781,35,,-19.6,13.4,3.2,,,,,,,,,,,,,,,,
NEO843,tooth,nd,UBA-40117,6678,37,,-19.5,13.6,3.18,,,,,,,,,,,,,,,,
NEO847,tooth+bone,tooth+petrous,UBA-40120,4767,33,,-21,10.2,3.23,,,,,,,,,,,,,,,,
NEO852,bone,femur sin,K-5199,5790,95,,-12.1,,,,,,,,,,,,,,,,,,
NEO852,bone,femur sin,AAR-8556,5800,35,,-11.8,15.3,3.2,,,,,,,,,,,,,,,,
NEO852,tooth,M2 dxt mand,,,,,,,,F10581,0.709362,,,,,,,,,,,,,,
NEO853,tooth+bone,"M1 dxt mand, petrous",UBA-37896,5496,57,,-10.1,14.5,3.2,F10345,0.709548,,,,,,,,,,,,,,
NEO855,tooth,M1?,,,,,,,,FAN-03E,0.709419,,,,,,,,,,,,,,
NEO855,bone,costa,AAR-28400,5821,37,,-10.5,14.5,,,,,,,,,,,,,,,,,
NEO856,tooth+bone,M2?+cranial bone,AAR-28401,6289,45,,-10.1,12.9,,NED-04E,0.709848,,,,,,,,,,,,,,
NEO857,tooth,nd,UBA-38241,3448,37,,-19.7,8.3,3.17,F10346,0.70985,,,,,,,,,,,,,,
NEO857,tooth,nd,UBA-37897,3425,59,,-18.8,9.3,3.19,F10346,0.70985,,,,,,,,,,,,,,
NEO860,tooth,PM2 sin mand,UBA-37900,3568,51,,-20.4,12.1,3.17,F10511,0.709659,,,,,,,,,,,,,,
NEO861,tooth,PM2 dxt mand,UBA-39126,3756,29,,-20.8,9.5,3.17,F10582,0.715245,,,,,,,,,,,,,,
NEO865,tooth+bone,PM1 sin mand + max frag,UBA-39128,4688,31,,-20,11,3.23,F10585,0.710525,,,,,,,,,,,,,,
NEO866,tooth,I2 sin max,,,,,,,,F10350,0.709742,,,,,,,,,,,,,,
NEO866,tooth,I2 sin max,,,,,,,,F10351,0.709742,,,,,,,,,,,,,,
NEO866,bone,petrous right,UBA-40439,4743,31,,-21.1,9.7,32,,,,,,,,,,,,,,,,
NEO870,tooth,M2 dxt max,UBA-39129,3837,30,,-21.1,9.1,3.19,,,,,,,,,,,,,,,,
NEO872,tooth,dpm2 sin max,UBA-39130,3699,35,,-19.9,11.5,3.24,F10587,0.709385,,,,,,,,,,,,,,
NEO875,tooth+bone,"dpm1 dxt mand, petrous right",UBA-37906,3803,36,,-20.5,11.1,3.24,F10355,0.711054,,,,,,,,,,,,,,
NEO876,tooth,M1 sin mand,UBA-39132,3936,28,,-21.1,8.9,3.18,F10590,0.710709,,,,,,,,,,,,,,
NEO878,tooth+bone,"PM2 dxt mand, petrous left",UBA-39134,3710,35,,-20.5,9.7,3.19,F10357,0.711382,,,,,,,,,,,,,,
NEO886,bone,petrous left,UBA-39141,4774,52,,-20.1,10.6,3.25,F10748,0.710411,,,,,,,,,,,,,,
NEO888,tooth+bone,M2 sin mand + mc II sin,UBA-40440,4647,31,,-20.8,8.7,3.19,F10598,0.710284,,,,,,,,,,,,,,
NEO891,tooth+bone,tooth+mandible powder,UBA-37910,4939,45,,-20.5,9.6,3.23,F10364,0.710722,,,,,,,,,,,,,,
NEO896,tooth+bone,tooth+mandibula,UBA-39554,4698,32,,-20.7,8.5,3.14,F10603,0.70835,,,,,,,,,,,,,,
NEO898,bone,petrous,UBA-37912,4539,72,,-17.1,14.2,3.17,,,,,,,,,,,,,,,,
NEO899,tooth,2 teeth,OxA-39283,3696,20,,-18.16,14.06,3.2,,,,,,,,,,,,,,,,
NEO900,tooth,2 teeth,OxA-39284,3831,20,,-20.64,14.07,3.2,,,,,,,,,,,,,,,,
NEO901,tooth,2 teeth,OxA-39285,1238,18,,-20.87,10.02,3.2,,,,,,,,,,,,,,,,
NEO902,tooth,2 teeth,OxA-39286,2337,18,,-16.26,13.2,3.2,,,,,,,,,,,,,,,,
NEO904,tooth,2 teeth,UBA-39933,3730,42,,-18.1,16.6,3.17,,,,,,,,,,,,,,,,
NEO907,tooth,2 teeth,UBA-40121,5390,31,,-22.1,14.5,3.17,,,,,,,,,,,,,,,,
NEO910,tooth,2 teeth,UBA-40122,3877,28,,-22.1,14,3.16,,,,,,,,,,,,,,,,
NEO911,tooth,2 teeth,UBA-40123,6451,33,,-20.4,12.5,3.12,,,,,,,,,,,,,,,,
NEO912,tooth,2 teeth,UBA-40124,5309,32,,-21,13.3,3.13,,,,,,,,,,,,,,,,
NEO915,tooth,2 teeth,UBA-40125,5472,32,,-21.6,13.4,3.16,,,,,,,,,,,,,,,,
NEO916,tooth,2 teeth,UBA-40126,5473,32,,-21.5,16.1,3.19,,,,,,,,,,,,,,,,
NEO917,bone,petrous bone,UBA-40127,5269,30,,-22.8,14.5,3.23,,,,,,,,,,,,,,,,
NEO918,tooth+bone,tooth + petrous,UBA-40128,5255,36,,-22.3,14.6,3.21,,,,,,,,,,,,,,,,
NEO921,tooth+bone,tooth + petrous,UBA-40129,4221,31,,-22.3,16,3.2,,,,,,,,,,,,,,,,
NEO922,tooth,2 teeth,UBA-40130,7191,46,,-16.8,13.4,3.18,,,,,,,,,,,,,,,,
NEO923,tooth,2 teeth,UBA-40131,5555,34,,-19.5,12.5,3.18,,,,,,,,,,,,,,,,
NEO925,bone,petrous,UBA-40132,,,failed,,,,,,,,,,,,,,,,,,,
NEO925,bone,petrous,UBA-37913,,,failed,,,,,,,,,,,,,,,,,,,
NEO930,tooth,M2 dxt mand,,,,,,,,FAN-37E,0.709465,,,,,,,,,,,,,,
NEO930,bone,mt4 sin,AAR-19687,6377,30,,-10.8,14.3,,,,,,,,,,,,,,,,,
NEO932,bone,petrous,UBA-40929,6794,49,sample swapped with Aldersro,-12.6,15.5,3.21,F10606,0.709532,,,,,,,,,,,,,,
NEO932,bone,petrous,UBA-38242,6608,47,Redate of UB-38244,-12.6,15.5,3.21,F10513,0.709563,,,,,,,,,,,,,,
NEO933,bone,petrous sin,UBA-39145,4688,56,,-19.9,10.5,3.21,F10607,0.709394,,,,,,,,,,,,,,
NEO934,tooth,nd,UBA-39146,3573,39,,-19.9,10.1,3.2,,,,,,,,,,,,,,,,
NEO935,bone,femur sin,K-3751,4750,90,,,,,,,,,,,,,,,,,,,,
NEO935,bone,petrous dxt,UBA-39147,4573,33,,-20.7,10,3.16,F10608,0.70917,,,,,,,,,,,,,,
NEO938,tooth,M3 dxt mand,UBA-40604,7178,41,,-17.5,11.1,3.15,,,,,,,,,,,,,,,,
NEO941,tooth,"M3 dxt mand, in jaw",UBA-39153,5947,33,,-10,14.6,3.13,F10750,0.709351,,,,,,,,,,,,,,
NEO942,bone,petrous right,UBA-39159,4846,53,,-20,9.1,3.16,F10751,0.709363,,,,,,,,,,,,,,
NEO943,bone,petrous left,UBA-39152,4072,61,,-20.4,10.6,3.24,F10752,0.709207,,,,,,,,,,,,,,
NEO945,bone,petrous right,UBA-39151,4674,51,isotopes failed,,,,F10754,0.708835,,,,,,,,,,,,,,
NEO946,bone,petrous left,UBA-39154,2982,44,,-20.1,10.1,3.23,F10755,0.708837,,,,,,,,,,,,,,
NEO951,tooth+bone,"PM2 sin mand, cranium frag",UBA-39162,3114,54,,-20.3,7.9,3.17,F10760,0.70996,,,,,,,,,,,,,,
NEO960,bone,petrous dxt,,,,,,,,F10809,0.709539,,,,,,,,,,,,,,
NEO960,bone,occipitale,AAR-10993; BCH198:4a+b,5308,43,,-21.4,12.5,,,,,,,,,,,,,,,,,
NEO961,tooth,dpm2 dxt mand,UBA-40443,4510,32,,-20.5,9.5,3.13,F10815,0.710183,,,,,,,,,,,,,,
NEO962,tooth,M3 dxt max,AAR-7416-2,5102,37,,-19.47,10.4,,F11050,0.70944,,,,,,,,,,,,,,
